"","sample","time","replicate"
"Ctl_1","CTL.1","T0","1"
"Ctl_2","CTL.2","T0","2"
"Ctl_3","CTL.3","T0","3"
"Ctl_4","CTL.4","T0","4"
"Ctl_5","CTL.5","T0","5"
"t24_1","T24.1","T24","1"
"t24_2","T24.2","T24","2"
"t24_3","T24.3","T24","3"
"t24_4","T24.4","T24","4"
"t24_5","T24.5","T24","5"
"t6_1","T6.1","T6","1"
"t6_2","T6.2","T6","2"
"t6_3","T6.3","T6","3"
"t6_4","T6.4","T6","4"
"t6_5","T6.5","T6","5"
